marker,entropy_pos_X,entropy_vel_X,mean_vel_X,entropy_pos_Y,entropy_vel_Y,mean_vel_Y,entropy_pos_Z,entropy_vel_Z,mean_vel_Z,Groups,trail,subjects
17,0.024890174,0.24035645,-0.001362758,0.035391791,0.241775977,0.000183641,0.091813786,0.605217108,0.000969691,human_like,8,6
18,0.022367999,0.192879312,-0.002157438,0.040245949,0.209153936,0.000102338,0.126584825,0.35734586,0.001157107,human_like,9,6
19,0.033777669,0.17729183,0.001105115,0.053459433,0.432928125,6.70E-05,0.081579514,0.474026006,0.000589374,human_like,10,6
0,0.016356639,0.250139318,0.000383309,0.026451527,0.270287795,0.000382941,0.056896233,0.313836853,0.000352911,traditional,1,7
1,0.019078233,0.182443003,0.000793953,0.034500205,0.177256023,-9.37E-05,0.076054775,0.165164945,2.44E-05,traditional,2,7
2,0.017566243,0.176849052,0.000719329,0.034310126,0.194384628,-0.000193763,0.063427498,0.193116494,0.00013928,traditional,3,7
3,0.011915106,0.153911092,0.001022495,0.028201413,0.166199108,-0.000250464,0.057598716,0.189118255,0.000448883,traditional,4,7
4,0.014342895,0.120401301,0.000750675,0.028160035,0.274119986,-8.39E-05,0.071295615,0.213634723,0.000344142,traditional,5,7
5,0.023784688,0.161261324,0.000778914,0.041479326,0.168052916,6.09E-05,0.082782399,0.162593334,0.000488981,traditional,6,7
6,0.014757115,0.238314165,0.000517055,0.025948603,0.236668072,0.000154522,0.041778585,0.281588573,0.000579725,traditional,7,7
7,0.021122734,0.257172417,0.000600421,0.035017399,0.290922434,-8.97E-06,0.063897681,0.202979586,0.000657069,traditional,8,7
8,0.01297284,0.249290981,0.00083608,0.029106793,0.142143949,0.000281212,0.056348574,0.148797863,0.000293229,traditional,9,7
9,0.008500241,0.150666897,0.000690462,0.024290432,0.114637471,-7.60E-05,0.041150054,0.164702568,0.00049664,traditional,10,7
10,0.011149893,0.164584262,0.000489962,0.03294064,0.175047216,0.000124002,0.031798338,0.186893942,0.000759881,human_like,1,7
11,0.019655121,0.188368555,0.000963829,0.038618288,0.263786258,-0.000195406,0.069260447,0.33599981,0.000386385,human_like,2,7
12,0.019636802,0.224958251,0.001230387,0.036228051,0.231886167,-1.28E-05,0.063842616,0.219286991,0.00050306,human_like,3,7
13,0.018114148,0.346049871,0.001055495,0.037299046,0.301792785,0.000103277,0.06577877,0.282260643,0.000855035,human_like,4,7
14,0.013449202,0.145950966,0.000825979,0.03714457,0.224784994,-0.000181737,0.061566099,0.186708338,0.000555079,human_like,5,7
15,0.015712167,0.172598577,0.00056339,0.030938915,0.209525828,0.000140404,0.063188167,0.137104813,0.000231562,human_like,6,7
16,0.012593625,0.160414053,0.000755475,0.042683653,0.147223059,-0.000356208,0.059912235,0.192756854,0.00047162,human_like,7,7
17,0.008199895,0.200202848,0.000737491,0.031209589,0.2286959,6.84E-05,0.045560338,0.17527288,0.000318306,human_like,8,7
18,0.01029142,0.161409449,0.001115694,0.029595064,0.211131699,-3.61E-05,0.061737092,0.221891306,0.00044724,human_like,9,7
19,0.019803207,0.128933581,0.000761875,0.043419901,0.122345582,-0.000182876,0.066820269,0.105434618,0.000763978,human_like,10,7
0,0.009823402,0.100088426,0.000272879,0.026265373,0.243477343,8.08E-05,0.035661208,0.276613185,0.000132767,traditional,1,8
1,0.012290321,0.207306405,-0.000350948,0.013297628,0.284927333,-0.000279778,0.038130031,0.193174887,0.00041305,traditional,2,8
2,0.008599154,0.193019948,-0.000370418,0.017439857,0.202076243,-0.000116702,0.03145304,0.221579917,0.000386975,traditional,3,8
3,0.013408042,0.219192304,0.000274733,0.020291535,0.450603905,-4.94E-05,0.035414208,0.301610859,0.000302054,traditional,4,8
4,0.013324406,0.212736352,0.000544068,0.021621479,0.22347429,5.48E-05,0.03715528,0.202371915,0.000330945,traditional,5,8
